Student_ID,Name,Class,Maths,Science,English,Computer,Social
STU0040,Surya Patel,D,67,41,46,89,70
STU0041,Aarav Kumar,C,51,68,55,91,89
STU0042,Vignesh Kumar,A,44,54,39,82,53
STU0043,Rahul Devi,A,74,81,40,80,61
STU0044,Surya Sharma,A,80,87,54,65,55
STU0045,Arjun Reddy,A,57,77,87,66,69
STU0046,Arjun Raj,D,39,95,63,60,93
STU0047,Gopika Patel,B,63,38,59,86,77
STU0048,Kavin Raj,C,79,100,86,77,38
STU0049,Diya Patel,B,68,39,48,90,79
STU0050,Priya Singh,D,100,49,84,59,67
STU0051,Aarav Reddy,A,60,81,90,43,77
STU0052,Nisha Singh,A,73,99,74,87,76
STU0053,Rahul Patel,B,59,88,83,57,73
STU0054,Rahul Das,A,73,71,61,90,76
STU0055,Sneha Iyer,D,62,100,95,56,45
STU0056,Kavin Das,C,46,65,74,63,60
STU0057,Arjun Kumar,A,66,95,44,93,88
STU0058,Surya Nair,B,84,98,86,66,53
STU0059,Surya Kumar,A,89,63,57,94,41
STU0060,Vignesh Sharma,A,93,52,94,75,91
STU0061,Nisha Das,D,92,55,95,92,68
STU0062,Ananya Patel,D,65,70,91,44,71
STU0063,Ananya Patel,C,75,45,52,54,64
STU0064,Rahul Devi,B,43,88,87,77,94
STU0065,Rahul Kumar,B,88,84,37,83,96
STU0066,Aarav Singh,C,84,88,63,97,63
STU0067,Kavin Reddy,D,38,84,78,86,56
STU0068,Sneha Devi,A,85,38,45,89,52
STU0069,Sneha Devi,A,68,83,76,62,93
STU0070,Gopika Singh,D,70,88,67,45,95
STU0071,Aarav Das,A,79,63,43,40,38
STU0072,Ananya Sharma,A,54,65,51,95,49
STU0073,Nisha Sharma,D,67,82,56,49,55
STU0074,Kavin Raj,A,74,83,85,60,44
STU0075,Nisha Sharma,A,73,50,40,79,89
STU0076,Surya Singh,A,99,78,36,88,97
STU0077,Diya Reddy,C,93,54,90,57,69
STU0078,Nisha Das,D,94,90,69,76,66
STU0079,Diya Patel,D,66,94,83,78,38
STU0080,Sneha Singh,B,97,62,80,68,78
STU0081,Kavin Nair,C,36,59,45,65,87
STU0082,Sneha Das,B,95,97,92,37,46
STU0083,Kavin Sharma,D,66,74,82,95,79
STU0084,Rahul Das,C,80,93,69,74,67
STU0085,Ananya Raj,B,75,50,58,59,62
STU0086,Priya Iyer,C,71,47,59,72,64
STU0087,Gopika Devi,C,36,51,70,40,41
STU0088,Vignesh Patel,B,97,48,36,71,95
STU0089,Sneha Iyer,C,58,41,67,96,49
STU0090,Diya Reddy,D,44,41,54,54,73
STU0091,Diya Sharma,A,88,63,83,92,91
STU0092,Kavin Nair,D,74,42,47,61,62
STU0093,Kavin Raj,B,65,57,44,55,35
STU0094,Rahul Iyer,D,72,39,64,71,71
STU0095,Priya Iyer,A,64,68,60,89,49
STU0096,Vignesh Sharma,B,69,53,44,42,56
STU0097,Kavin Nair,C,91,50,94,73,86
STU0098,Kavin Das,D,91,45,40,90,76
STU0099,Nisha Patel,A,46,64,37,69,40
STU0100,Arjun Iyer,D,70,58,90,97,46
STU0101,Sneha Singh,D,77,76,48,55,77
STU0102,Rahul Iyer,C,86,39,93,46,75
STU0103,Kavin Singh,A,86,100,35,94,87
STU0104,Aarav Sharma,C,98,91,41,61,69
STU0105,Vignesh Devi,C,91,97,50,38,65
STU0106,Priya Devi,C,36,87,46,63,49
STU0107,Sneha Raj,B,98,72,100,69,88
STU0108,Sneha Iyer,B,93,53,84,59,100
STU0109,Priya Devi,A,70,88,78,99,69
STU0110,Aarav Patel,C,97,54,92,96,79
STU0111,Gopika Das,D,93,76,59,65,84
STU0112,Ananya Reddy,A,75,95,83,84,54
STU0113,Sneha Kumar,B,99,77,47,91,47
STU0114,Vignesh Iyer,A,53,87,54,44,95
STU0115,Kavin Singh,D,45,77,83,75,97
STU0116,Vignesh Kumar,A,65,71,64,46,90
STU0117,Diya Raj,D,56,73,38,40,76
STU0118,Aarav Patel,C,82,90,53,66,87
STU0119,Nisha Devi,B,57,45,83,65,98
STU0120,Nisha Devi,B,94,67,93,67,36
STU0121,Sneha Patel,B,44,91,79,73,89
STU0122,Priya Patel,D,73,60,84,96,48
STU0123,Ananya Reddy,C,72,72,37,85,70
STU0124,Aarav Nair,A,98,71,64,80,63
STU0125,Surya Sharma,C,52,47,40,74,91
STU0126,Aarav Nair,C,51,46,72,76,88
STU0127,Arjun Sharma,B,81,99,69,56,67
STU0128,Sneha Patel,C,49,94,44,53,63
STU0129,Surya Reddy,C,46,85,36,68,50
STU0130,Sneha Singh,C,83,82,48,64,95
STU0131,Aarav Nair,C,63,43,94,73,87
STU0132,Diya Devi,A,39,73,98,49,47
STU0133,Ananya Das,B,84,93,82,88,54
STU0134,Rahul Raj,D,87,70,39,82,62
STU0135,Sneha Iyer,B,81,47,82,80,42
STU0136,Rahul Patel,B,50,93,46,62,37
STU0137,Aarav Singh,B,51,61,43,61,62
STU0138,Ananya Singh,B,35,70,53,51,67
STU0139,Arjun Raj,A,51,36,80,65,76
STU0140,Aarav Devi,C,41,51,88,49,43
STU0141,Sneha Iyer,C,100,48,92,99,63
STU0142,Nisha Kumar,C,93,38,42,96,86
STU0143,Rahul Raj,D,91,44,45,76,53
STU0144,Diya Devi,C,76,83,72,93,99
STU0145,Nisha Reddy,A,49,62,90,92,64
STU0146,Rahul Singh,D,86,88,47,75,89
STU0147,Gopika Patel,C,54,95,43,46,45
STU0148,Diya Reddy,A,82,51,42,77,50
STU0149,Rahul Singh,D,41,71,74,80,48
STU0150,Nisha Das,B,54,96,63,48,79
STU0151,Vignesh Singh,A,70,63,89,38,69
STU0152,Aarav Devi,C,74,78,79,35,58
STU0153,Arjun Nair,D,43,53,38,46,62
STU0154,Rahul Reddy,D,78,55,82,74,76
STU0155,Nisha Nair,A,41,54,55,41,45
STU0156,Kavin Iyer,D,97,91,88,69,62
STU0157,Vignesh Raj,C,90,49,71,97,74
STU0158,Aarav Sharma,D,42,35,61,73,62
STU0159,Arjun Patel,C,76,50,35,98,90
STU0160,Arjun Devi,D,64,99,80,44,85
STU0161,Priya Kumar,D,37,93,44,75,89
STU0162,Nisha Reddy,D,72,49,86,37,76
STU0163,Arjun Nair,D,81,46,90,48,66
STU0164,Rahul Nair,D,45,85,74,78,63
STU0165,Gopika Devi,A,100,49,100,59,79
STU0166,Gopika Devi,B,48,53,67,60,57
STU0167,Nisha Devi,A,57,98,94,92,76
STU0168,Surya Singh,B,91,43,95,91,73
STU0169,Kavin Nair,A,80,99,44,74,94
STU0170,Sneha Kumar,A,82,71,44,46,99
STU0171,Rahul Iyer,A,92,59,76,95,99
STU0172,Arjun Kumar,D,48,78,45,99,57
STU0173,Aarav Sharma,D,91,55,81,82,71
STU0174,Rahul Reddy,C,41,77,43,77,47
STU0175,Vignesh Reddy,C,67,54,77,45,53
STU0176,Gopika Patel,D,51,45,74,83,77
STU0177,Arjun Das,A,89,100,81,37,81
STU0178,Kavin Devi,B,78,97,59,63,52
STU0179,Arjun Raj,C,47,99,39,78,51
STU0180,Nisha Reddy,B,55,58,56,91,40
STU0181,Rahul Singh,B,91,71,92,64,65
STU0182,Kavin Iyer,B,82,91,94,71,83
STU0183,Vignesh Das,D,55,60,52,67,41
STU0184,Surya Iyer,C,48,50,71,45,55
STU0185,Kavin Iyer,B,90,46,63,92,79
STU0186,Aarav Reddy,A,85,99,82,65,84
STU0187,Diya Singh,B,38,75,47,77,53
STU0188,Arjun Kumar,C,95,52,95,92,35
STU0189,Diya Kumar,C,62,54,89,49,71
STU0190,Ananya Patel,A,41,65,88,93,43
STU0191,Diya Iyer,A,100,65,53,72,89
STU0192,Aarav Nair,C,65,88,58,45,81
STU0193,Diya Das,A,84,95,40,84,82
STU0194,Kavin Kumar,C,43,79,65,48,77
STU0195,Arjun Kumar,C,78,57,94,96,58
STU0196,Arjun Raj,D,39,72,60,40,60
STU0197,Aarav Singh,C,100,85,95,67,39
STU0198,Surya Sharma,C,80,41,77,69,50
STU0199,Gopika Reddy,D,91,84,78,58,98
STU0200,Priya Iyer,C,69,45,89,45,90
STU0201,Nisha Devi,C,76,48,45,76,72
STU0202,Kavin Iyer,D,56,91,79,92,40
STU0203,Priya Singh,D,70,42,44,86,81
STU0204,Vignesh Devi,A,53,91,39,51,43
STU0205,Ananya Singh,C,84,39,54,92,82
STU0206,Gopika Iyer,A,52,81,85,75,70
STU0207,Ananya Raj,A,58,98,84,50,68
STU0208,Kavin Iyer,B,71,97,60,50,52
STU0209,Diya Iyer,B,91,46,75,79,43
STU0210,Vignesh Das,C,73,55,57,81,100
STU0211,Ananya Raj,B,52,65,98,38,81
STU0212,Vignesh Nair,C,94,51,46,43,74
STU0213,Rahul Iyer,D,87,44,51,75,44
STU0214,Sneha Iyer,C,51,58,51,90,99
STU0215,Aarav Raj,B,73,56,55,76,63
STU0216,Gopika Das,C,45,67,60,70,51
STU0217,Surya Patel,A,99,56,54,56,78
STU0218,Nisha Kumar,A,45,40,68,61,88
STU0219,Nisha Kumar,D,72,73,96,66,86
STU0220,Kavin Iyer,A,42,55,91,88,96
STU0221,Sneha Sharma,C,53,75,75,79,86
STU0222,Arjun Singh,A,75,65,94,50,69
STU0223,Sneha Sharma,B,47,41,72,84,88
STU0224,Ananya Devi,C,75,59,55,98,100
STU0225,Sneha Iyer,C,98,37,46,85,99
STU0226,Sneha Sharma,B,80,41,41,71,98
STU0227,Nisha Iyer,C,36,48,90,52,68
STU0228,Priya Singh,D,81,40,86,41,59
STU0229,Gopika Das,C,44,84,99,92,70
STU0230,Nisha Nair,A,51,47,85,82,78
STU0231,Vignesh Singh,B,60,100,86,99,40
STU0232,Aarav Kumar,B,77,95,93,54,100
STU0233,Arjun Singh,C,55,85,73,78,99
STU0234,Vignesh Das,D,73,95,37,82,77
STU0235,Surya Raj,D,74,38,95,68,64
STU0236,Priya Kumar,D,56,83,53,66,39
STU0237,Nisha Raj,B,37,91,75,88,54
STU0238,Rahul Sharma,D,99,95,42,52,61
STU0239,Vignesh Singh,D,83,75,57,93,78
STU0240,Vignesh Singh,C,96,59,66,70,73
STU0241,Ananya Patel,C,61,97,75,96,79
STU0242,Vignesh Patel,C,50,83,85,79,53
STU0243,Kavin Kumar,C,45,79,91,67,96
STU0244,Ananya Sharma,C,69,52,48,65,66
STU0245,Aarav Das,B,64,41,47,87,77
STU0246,Priya Iyer,A,52,35,55,87,95
STU0247,Sneha Sharma,C,76,71,42,46,64
STU0248,Vignesh Kumar,B,88,57,39,85,98
STU0249,Arjun Patel,A,36,73,48,77,71
STU0250,Sneha Das,D,52,99,94,69,59
STU0251,Diya Singh,B,93,67,58,36,78
STU0252,Kavin Nair,B,57,86,89,100,76
STU0253,Diya Reddy,A,58,52,96,76,66
STU0254,Aarav Patel,D,65,92,69,77,73
STU0255,Nisha Nair,A,68,81,65,42,50
STU0256,Sneha Patel,B,86,99,74,50,72
STU0257,Gopika Nair,B,63,52,96,54,93
STU0258,Priya Nair,C,88,95,62,66,45
STU0259,Vignesh Iyer,C,44,49,42,99,60
STU0260,Nisha Das,B,56,76,91,49,61
STU0261,Priya Nair,D,46,100,92,42,93
STU0262,Arjun Das,D,93,42,94,74,37
STU0263,Rahul Patel,A,62,44,40,89,79
STU0264,Priya Raj,A,43,95,39,71,87
STU0265,Arjun Devi,D,82,83,92,83,83
STU0266,Diya Das,B,79,50,57,85,51
STU0267,Priya Sharma,A,37,73,94,89,83
STU0268,Ananya Sharma,D,79,54,70,59,49
STU0269,Aarav Reddy,A,65,61,43,47,39
STU0270,Sneha Nair,A,66,40,86,91,64
STU0271,Vignesh Sharma,A,52,99,72,64,75
STU0272,Nisha Nair,C,65,73,53,63,87
STU0273,Kavin Patel,A,57,89,98,41,79
STU0274,Surya Reddy,C,88,87,54,73,83
STU0275,Arjun Das,D,65,63,73,53,94
STU0276,Aarav Das,D,88,52,84,66,67
STU0277,Ananya Singh,A,92,82,46,59,41
STU0278,Kavin Reddy,A,44,59,62,96,61
STU0279,Gopika Patel,A,62,59,50,96,66
STU0280,Priya Nair,B,85,65,76,71,83
STU0281,Sneha Das,C,74,68,81,100,98
STU0282,Sneha Raj,D,75,61,82,75,87
STU0283,Aarav Nair,B,53,37,68,88,72
STU0284,Arjun Sharma,C,64,83,66,98,78
STU0285,Kavin Iyer,D,93,56,80,56,52
STU0286,Priya Das,D,58,42,39,44,41
STU0287,Aarav Reddy,B,64,43,54,36,62
STU0288,Vignesh Iyer,C,42,96,97,37,35
STU0289,Vignesh Das,D,36,37,70,71,37
STU0290,Vignesh Reddy,B,48,47,54,65,59
STU0291,Nisha Das,C,80,69,85,45,82
STU0292,Rahul Iyer,B,63,73,45,39,46
STU0293,Rahul Reddy,D,95,42,36,56,45
STU0294,Sneha Reddy,C,47,40,64,62,95
STU0295,Kavin Kumar,A,70,39,57,75,37
STU0296,Ananya Nair,B,85,44,73,55,65
STU0297,Nisha Reddy,C,84,52,45,99,79
STU0298,Aarav Raj,D,64,44,78,85,76
STU0299,Aarav Patel,D,97,64,80,83,90
STU0300,Arjun Nair,D,45,72,66,44,45
STU0301,Kavin Devi,D,54,84,75,81,48
STU0302,Diya Kumar,C,91,81,69,48,51
STU0303,Diya Devi,D,92,100,87,48,38
STU0304,Diya Singh,A,76,84,36,72,87
STU0305,Rahul Raj,B,56,83,56,52,69
STU0306,Kavin Patel,D,53,43,56,90,70
STU0307,Rahul Patel,D,44,81,67,66,98
STU0308,Nisha Nair,B,93,48,52,73,35
STU0309,Rahul Singh,D,77,91,77,90,52
STU0310,Kavin Singh,B,96,75,57,85,75
STU0311,Kavin Iyer,B,76,83,70,85,81
STU0312,Diya Nair,B,58,38,94,61,91
STU0313,Kavin Raj,D,98,52,73,65,67
STU0314,Surya Devi,D,83,44,92,96,86
STU0315,Vignesh Das,D,39,81,45,48,66
STU0316,Surya Singh,B,40,86,77,90,48
STU0317,Aarav Raj,C,63,100,63,92,82
STU0318,Rahul Iyer,B,79,38,96,48,72
STU0319,Rahul Raj,A,53,79,74,78,93
STU0320,Ananya Das,D,79,95,47,91,92
STU0321,Gopika Raj,C,40,49,37,78,48
STU0322,Surya Devi,B,57,55,77,89,94
STU0323,Ananya Reddy,B,58,90,85,38,60
STU0324,Sneha Nair,D,84,35,62,61,70
STU0325,Priya Raj,A,58,81,76,60,93
STU0326,Diya Patel,D,75,84,85,49,79
STU0327,Gopika Iyer,B,73,45,52,75,50
STU0328,Ananya Patel,A,58,82,53,100,84
STU0329,Rahul Nair,B,84,89,58,97,57
STU0330,Vignesh Devi,D,71,52,58,75,92
STU0331,Nisha Kumar,C,36,97,52,59,84
STU0332,Vignesh Das,D,87,97,88,91,97
STU0333,Arjun Raj,A,63,72,39,70,63
STU0334,Vignesh Patel,B,93,98,100,49,49
STU0335,Kavin Das,C,40,91,62,89,48
STU0336,Priya Sharma,C,39,92,68,79,46
STU0337,Sneha Raj,B,61,79,89,56,52
STU0338,Ananya Sharma,A,79,70,56,76,72
STU0339,Kavin Nair,C,100,47,52,87,42
STU0340,Kavin Devi,B,66,53,76,66,85
STU0341,Sneha Devi,C,88,83,92,44,46
STU0342,Rahul Das,C,82,93,97,76,35
STU0343,Priya Raj,D,80,43,85,62,89
STU0344,Ananya Iyer,C,76,71,78,51,97
STU0345,Gopika Kumar,A,47,93,37,50,55
STU0346,Sneha Iyer,A,89,60,51,73,55
STU0347,Kavin Raj,C,67,45,82,56,41
STU0348,Rahul Patel,B,89,46,47,35,62
STU0349,Sneha Raj,B,63,91,36,36,78
STU0350,Diya Reddy,B,96,44,64,84,46
STU0351,Priya Raj,A,75,82,73,52,83
STU0352,Arjun Devi,A,36,56,91,79,62
STU0353,Surya Devi,D,91,62,46,47,52
STU0354,Diya Nair,D,79,89,75,52,66
STU0355,Kavin Raj,B,71,38,73,61,100
STU0356,Ananya Reddy,C,41,65,98,84,49
STU0357,Ananya Iyer,A,36,81,75,51,84
STU0358,Nisha Reddy,C,57,95,44,37,43
STU0359,Aarav Patel,B,40,42,85,99,71
STU0360,Surya Das,D,89,86,45,54,70
STU0361,Diya Patel,A,100,61,54,76,85
STU0362,Nisha Raj,C,90,65,42,66,46
STU0363,Rahul Raj,D,42,74,57,50,36
STU0364,Priya Devi,A,55,98,79,68,56
STU0365,Gopika Devi,C,50,38,77,89,69
STU0366,Vignesh Raj,C,44,98,93,100,81
STU0367,Aarav Iyer,B,82,55,67,48,49
STU0368,Ananya Das,A,40,36,66,40,95
STU0369,Gopika Reddy,B,57,39,88,63,76
STU0370,Ananya Reddy,C,69,44,82,50,99
STU0371,Surya Kumar,B,63,40,86,43,94
STU0372,Kavin Patel,C,46,93,36,82,60
STU0373,Kavin Nair,C,66,94,82,98,60
STU0374,Priya Das,B,54,35,87,38,64
STU0375,Vignesh Singh,A,77,35,83,74,48
STU0376,Ananya Das,B,88,97,42,53,70
STU0377,Diya Kumar,B,87,82,93,45,47
STU0378,Vignesh Devi,D,44,42,90,51,65
STU0379,Kavin Patel,C,85,76,75,92,69
STU0380,Ananya Raj,B,52,48,54,48,56
STU0381,Sneha Iyer,C,87,50,80,61,92
STU0382,Kavin Iyer,C,50,46,55,73,40
STU0383,Ananya Singh,B,46,66,80,85,100
STU0384,Aarav Patel,C,57,38,86,92,66
STU0385,Diya Iyer,A,52,50,36,42,63
STU0386,Arjun Sharma,D,82,45,68,44,37
STU0387,Diya Sharma,D,51,46,77,50,40
STU0388,Sneha Kumar,B,90,85,98,38,83
STU0389,Surya Reddy,B,80,62,58,70,70
STU0390,Sneha Devi,A,66,72,98,87,96
STU0391,Aarav Raj,C,84,52,88,60,66
STU0392,Surya Das,A,83,80,96,97,79
STU0393,Nisha Das,C,84,69,58,38,75
STU0394,Nisha Sharma,A,70,42,95,80,64
STU0395,Arjun Raj,B,65,69,42,63,84
STU0396,Gopika Devi,B,65,75,80,38,80
STU0397,Nisha Nair,B,59,98,74,57,97
STU0398,Aarav Raj,A,64,63,37,96,35
STU0399,Gopika Nair,B,51,78,57,76,42
STU0400,Aarav Devi,B,49,81,44,82,85
STU0401,Nisha Raj,C,73,76,52,55,90
STU0402,Surya Iyer,C,57,80,63,57,83
STU0403,Kavin Patel,B,57,35,85,39,58
STU0404,Nisha Singh,B,48,98,53,77,44
STU0405,Ananya Singh,C,56,46,77,92,36
STU0406,Kavin Sharma,B,43,79,67,48,35
STU0407,Aarav Reddy,D,88,56,87,98,83
STU0408,Gopika Das,D,47,96,63,55,92
STU0409,Diya Kumar,C,37,75,68,48,44
STU0410,Gopika Devi,D,55,44,46,78,96
STU0411,Priya Kumar,D,56,90,55,41,47
STU0412,Gopika Sharma,B,87,68,71,73,65
STU0413,Diya Kumar,D,97,54,41,81,35
STU0414,Rahul Raj,C,96,60,47,38,61
STU0415,Arjun Patel,A,95,49,74,85,95
STU0416,Sneha Patel,A,84,58,82,83,82
STU0417,Arjun Iyer,A,68,91,94,68,63
STU0418,Kavin Nair,A,54,47,45,79,87
STU0419,Nisha Sharma,A,84,88,95,65,95
STU0420,Kavin Raj,D,39,99,53,50,92
STU0421,Arjun Devi,B,59,51,40,89,45
STU0422,Surya Reddy,B,53,68,75,43,46
STU0423,Rahul Das,D,76,70,93,36,88
STU0424,Diya Reddy,B,53,47,48,47,71
STU0425,Vignesh Singh,D,68,84,97,95,39
STU0426,Arjun Patel,D,53,86,39,85,77
STU0427,Priya Sharma,A,95,69,82,37,78
STU0428,Kavin Patel,C,97,47,64,52,73
STU0429,Priya Iyer,C,69,88,46,59,91
STU0430,Ananya Reddy,D,82,42,100,55,43
STU0431,Kavin Das,D,52,38,57,59,60
STU0432,Aarav Sharma,A,93,41,81,60,70
STU0433,Gopika Iyer,D,50,38,65,82,97
STU0434,Nisha Iyer,B,95,79,79,55,68
STU0435,Priya Raj,C,38,84,41,55,62
STU0436,Ananya Sharma,B,69,87,100,37,36
STU0437,Sneha Devi,B,36,63,67,74,70
STU0438,Rahul Reddy,C,93,67,62,94,73
STU0439,Surya Das,D,48,35,100,82,71
STU0440,Kavin Raj,D,43,78,70,76,70
STU0441,Kavin Patel,B,54,65,42,86,75
STU0442,Surya Devi,A,98,72,68,88,86
STU0443,Rahul Kumar,B,78,63,95,80,99
STU0444,Kavin Devi,B,72,47,95,51,68
STU0445,Priya Das,B,77,46,63,80,63
STU0446,Priya Patel,D,77,82,68,72,94
STU0447,Diya Iyer,A,44,95,59,99,50
STU0448,Surya Reddy,C,87,41,54,52,60
STU0449,Gopika Reddy,D,53,75,58,45,97
STU0450,Gopika Devi,C,42,35,92,70,61
STU0451,Arjun Nair,B,97,46,51,90,89
STU0452,Rahul Reddy,D,84,35,39,60,82
STU0453,Aarav Singh,B,37,35,66,63,79
STU0454,Kavin Devi,A,84,99,74,56,43
STU0455,Aarav Patel,C,93,78,90,52,78
STU0456,Sneha Singh,B,56,86,37,64,63
STU0457,Priya Devi,B,37,99,56,50,81
STU0458,Priya Kumar,D,67,41,41,48,37
STU0459,Aarav Raj,D,91,83,50,67,95
STU0460,Priya Devi,B,36,73,88,47,69
STU0461,Nisha Nair,B,88,48,100,50,71
STU0462,Diya Raj,D,60,60,68,60,80
STU0463,Priya Reddy,C,55,40,98,61,96
STU0464,Gopika Sharma,A,36,46,49,98,54
STU0465,Diya Das,A,47,67,64,93,72
STU0466,Kavin Iyer,A,47,57,40,72,81
STU0467,Surya Singh,D,49,47,40,36,52
STU0468,Surya Devi,C,80,91,69,46,82
STU0469,Gopika Devi,A,86,86,93,69,84
STU0470,Priya Iyer,D,56,49,51,42,55
STU0471,Diya Reddy,D,91,58,83,80,38
STU0472,Surya Devi,D,97,49,87,91,40
STU0473,Diya Patel,C,36,63,78,47,90
STU0474,Surya Sharma,D,79,84,54,41,36
STU0475,Surya Devi,D,98,56,44,97,76
STU0476,Ananya Singh,C,41,99,63,83,86
STU0477,Ananya Raj,D,91,92,46,98,92
STU0478,Gopika Raj,D,37,48,86,87,39
STU0479,Vignesh Das,A,46,73,100,61,93
STU0480,Gopika Singh,A,63,93,77,95,81
STU0481,Priya Iyer,A,47,63,35,78,80
STU0482,Surya Patel,C,48,40,56,98,52
STU0483,Priya Reddy,A,67,60,59,50,85
STU0484,Ananya Iyer,B,78,48,88,40,50
STU0485,Sneha Iyer,B,98,35,41,90,96
STU0486,Vignesh Devi,B,51,48,84,76,99
STU0487,Rahul Reddy,B,70,85,78,72,92
STU0488,Arjun Devi,D,100,73,75,62,60
STU0489,Ananya Nair,C,79,51,57,99,76
STU0490,Priya Raj,C,96,88,71,89,36
STU0491,Vignesh Raj,A,83,53,41,42,60
STU0492,Kavin Devi,C,67,53,42,72,61
STU0493,Vignesh Kumar,C,92,48,63,84,65
STU0494,Vignesh Patel,A,83,84,88,75,41
STU0495,Aarav Patel,B,91,63,82,60,59
STU0496,Kavin Iyer,B,44,58,57,100,50
STU0497,Rahul Kumar,D,70,68,51,55,67
STU0498,Aarav Singh,D,54,40,54,76,41
STU0499,Surya Nair,C,97,80,44,75,63
STU0500,Arjun Das,A,99,55,88,86,46
STU0501,Gopika Sharma,B,77,77,81,72,62
STU0502,Nisha Das,D,36,49,79,92,65
STU0503,Surya Nair,B,40,76,83,49,84
STU0504,Kavin Das,C,38,82,100,100,92
STU0505,Sneha Kumar,C,59,76,100,45,47
STU0506,Arjun Das,A,43,61,62,89,48
STU0507,Ananya Das,D,44,54,38,93,77
STU0508,Aarav Raj,A,41,57,67,44,64
STU0509,Kavin Reddy,D,92,86,90,75,37
STU0510,Rahul Raj,A,43,40,44,80,99
STU0511,Diya Patel,C,46,71,91,83,85
STU0512,Surya Kumar,D,55,63,52,85,72
STU0513,Surya Devi,C,82,36,53,50,40
STU0514,Aarav Nair,D,45,74,61,79,62
STU0515,Rahul Das,B,55,58,63,67,59
STU0516,Diya Devi,A,94,44,72,43,67
STU0517,Diya Sharma,D,77,80,51,65,47
STU0518,Kavin Nair,A,59,75,97,92,77
STU0519,Nisha Patel,B,81,75,89,56,35
STU0520,Gopika Sharma,B,90,70,81,52,77
STU0521,Sneha Iyer,D,80,74,97,48,57
STU0522,Surya Nair,A,70,52,60,68,44
STU0523,Priya Raj,A,99,38,86,62,39
STU0524,Vignesh Patel,D,54,81,85,63,72
STU0525,Arjun Iyer,A,85,81,99,36,65
STU0526,Nisha Devi,B,92,55,57,53,96
STU0527,Gopika Kumar,B,97,64,43,68,82
STU0528,Ananya Kumar,B,81,84,95,93,40
STU0529,Aarav Singh,A,70,68,57,83,83
STU0530,Gopika Nair,A,67,83,63,86,80
STU0531,Gopika Iyer,D,35,99,52,91,56
STU0532,Ananya Raj,C,62,54,58,55,81
STU0533,Nisha Raj,B,88,77,49,96,96
STU0534,Sneha Sharma,B,87,37,66,40,51
STU0535,Nisha Nair,B,52,100,40,53,42
STU0536,Arjun Patel,B,86,37,71,45,62
STU0537,Sneha Nair,D,96,56,63,87,53
STU0538,Nisha Devi,C,56,78,93,43,64
STU0539,Rahul Reddy,B,48,37,60,99,88
STU0540,Arjun Nair,A,57,95,39,99,50
STU0541,Diya Iyer,B,35,90,88,82,40
STU0542,Priya Das,D,64,96,83,79,47
STU0543,Rahul Devi,C,96,64,45,71,87
STU0544,Kavin Sharma,A,35,50,35,83,61
STU0545,Priya Singh,D,81,48,54,89,67
STU0546,Kavin Das,D,81,70,85,61,87
STU0547,Vignesh Das,D,57,82,96,67,74
STU0548,Nisha Singh,D,52,50,64,92,55
STU0549,Diya Sharma,D,78,41,55,84,35
STU0550,Diya Devi,D,90,46,43,68,63
STU0551,Gopika Raj,A,84,86,71,42,57
STU0552,Surya Iyer,D,36,60,71,59,39
STU0553,Nisha Das,B,56,39,81,65,35
STU0554,Arjun Raj,C,86,80,85,86,60
STU0555,Vignesh Kumar,A,46,71,79,79,70
